Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Gubeng (SGU);-;16:40:00;
Ngagel (NGA);Ls;16:44:00;
Wonokromo (WO);Ls;16:47:00;
Sepanjang (SPJ);16:32:00;16:51:00;
Boharan (BH);Ls;16:57:00;
Krian (KRN);17:02:00;17:11:00;
Kedinding (KDN);Ls;17:16:00;
Tarik (TRK);Ls;17:19:00;
Mojokerto (MR);17:28:00;17:31:00;
Curahmalang (CRM);Ls;17:35:00;
Sumobito (SBO);Ls;17:39:00;
Peterongan (PTR);Ls;17:44:00;
Jombang (JG);17:47:00;17:50:00;
Sembung (SMB);Ls;17:56:00;
Kertosono (KTS);Ls;18:01:00;
Baron (BRN);Ls;18:06:00;
Sukomoro (SKM);Ls;18:12:00;
Nganjuk (NJ);18:16:00;18:19:00;
Bagor (BGR);Ls;18:25:00;
Saradan (SRD);Ls;18:35:00;
Caruban (CRB);Ls;18:40:00;
Babadan (BBD);Ls;18:45:00;
Madiun (MN);18:51:00;18:56:00;
Magetan (MAG);Ls;19:05:00;
Geneng (GG);Ls;19:10:00;
Ngawi (NGW);Ls;19:14:00;
Kedunggalar (KG);Ls;19:19:00;
Walikukun (WK);Ls;19:25:00;
Kedungbanteng (KDB);Ls;19:32:00;
Kebonromo (KRO);Ls;19:36:00;
Sragen (SR);Ls;19:39:00;
Masaran (MSR);Ls;19:44:00;
Kemiri (KMR);Ls;19:49:00;
Palur (PL);Ls;19:52:00;
Solojebres (SK);Ls;19:55:00;
Solo Balapan (SLO);19:59:00;20:02:00;
Purwosari (PWS);Ls;20:06:00;
Gawok (GW);Ls;20:10:00;
Delanggu (DL);Ls;20:13:00;
Ceper (CE);Ls;20:17:00;
Klaten (KT);20:24:00;20:26:00;
Srowot (SWT);Ls;20:32:00;
Brambanan (BBN);Ls;20:36:00;
Maguwo (MGW);Ls;20:41:00;
Lempuyangan (LPN);Ls;20:46:00;
Yogyakarta (YK);20:50:00;-;
