Stasiun dan Perhentian;Datang;Berangkat;
Yogyakarta (YK);-;11:30:00;
Lempuyangan (LPN);Ls;11:33:00;
Maguwo (MGW);Ls;11:37:00;
Brambanan (BBN);Ls;11:42:00;
Srowot (SWT);Ls;11:46:00;
Klaten (KT);11:51:00;11:53:00;
Ceper (CE);Ls;12:00:00;
Delanggu (DL);Ls;12:04:00;
Gawok (GW);Ls;12:07:00;
Purwosari (PWS);Ls;12:11:00;
Solo Balapan (SLO);12:15:00;12:18:00;
Solojebres (SK);Ls;12:22:00;
Palur (PL);Ls;12:25:00;
Kemiri (KMR);Ls;12:28:00;
Masaran (MSR);Ls;12:33:00;
Sragen (SR);Ls;12:38:00;
Kebonromo (KRO);Ls;12:41:00;
Kedungbanteng (KDB);Ls;12:45:00;
Walikukun (WK);Ls;12:53:00;
Kedunggalar (KG);Ls;12:58:00;
Ngawi (NGW);Ls;13:03:00;
Geneng (GG);Ls;13:07:00;
Magetan (MAG);Ls;13:12:00;
Madiun (MN);13:20:00;13:26:00;
Babadan (BBD);Ls;13:33:00;
Caruban (CRB);Ls;13:38:00;
Saradan (SRD);Ls;13:43:00;
Bagor (BGR);Ls;13:54:00;
Nganjuk (NJ);14:00:00;14:02:00;
Sukomoro (SKM);Ls;14:07:00;
Baron (BRN);Ls;14:13:00;
Kertosono (KTS);Ls;14:18:00;
Sembung (SMB);Ls;14:23:00;
Jombang (JG);14:30:00;14:33:00;
Peterongan (PTR);Ls;14:38:00;
Sumobito (SBO);Ls;14:42:00;
Curahmalang (CRM);Ls;14:50:00;
Mojokerto (MR);14:51:00;14:53:00;
Tarik (TRK);Ls;15:01:00;
Kedinding (KDN);Ls;15:04:00;
Krian (KRN);Ls;15:08:00;
Boharan (BH);Ls;15:11:00;
Sepanjang (SPJ);Ls;15:18:00;
Wonokromo (WO);Ls;15:23:00;
Ngagel (NGA);Ls;15:28:00;
Surabaya Gubeng (SGU);15:30:00;-;
