Stasiun dan Perhentian;Datang;Berangkat;
Yogyakarta (YK);-;17:15:00;
Lempuyangan (LPN);Ls;17:18:00;
Maguwo (MGW);Ls;17:22:00;
Brambanan (BBN);Ls;17:27:00;
Srowot (SWT);Ls;17:31:00;
Klaten (KT);17:36:00;17:38:00;
Ceper (CE);Ls;17:45:00;
Delanggu (DL);Ls;17:49:00;
Gawok (GW);Ls;17:52:00;
Purwosari (PWS);Ls;17:56:00;
Solo Balapan (SLO);18:00:00;18:03:00;
Solojebres (SK);Ls;18:07:00;
Palur (PL);Ls;18:10:00;
Kemiri (KMR);Ls;18:13:00;
Masaran (MSR);Ls;18:18:00;
Sragen (SR);Ls;18:23:00;
Kebonromo (KRO);Ls;18:26:00;
Kedungbanteng (KDB);Ls;18:30:00;
Walikukun (WK);Ls;18:38:00;
Kedunggalar (KG);Ls;18:43:00;
Ngawi (NGW);Ls;18:48:00;
Geneng (GG);Ls;18:52:00;
Magetan (MAG);Ls;18:57:00;
Madiun (MN);19:05:00;19:11:00;
Babadan (BBD);Ls;19:18:00;
Caruban (CRB);Ls;19:23:00;
Saradan (SRD);Ls;19:28:00;
Bagor (BGR);Ls;19:39:00;
Nganjuk (NJ);19:45:00;19:47:00;
Sukomoro (SKM);Ls;19:52:00;
Baron (BRN);Ls;19:58:00;
Kertosono (KTS);Ls;20:03:00;
Sembung (SMB);Ls;20:08:00;
Jombang (JG);20:15:00;20:18:00;
Peterongan (PTR);Ls;20:25:00;
Sumobito (SBO);Ls;20:27:00;
Curahmalang (CRM);Ls;20:35:00;
Mojokerto (MR);20:37:00;20:39:00;
Tarik (TRK);Ls;20:47:00;
Kedinding (KDN);Ls;20:50:00;
Krian (KRN);Ls;20:53:00;
Boharan (BH);Ls;20:56:00;
Sepanjang (SPJ);Ls;21:03:00;
Wonokromo (WO);Ls;21:08:00;
Ngagel (NGA);Ls;21:12:00;
Surabaya Gubeng (SGU);21:15:00;-;
