Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Gubeng (SGU);-;11:15:00;
Ngagel (NGA);Ls;11:18:00;
Wonokromo (WO);Ls;11:21:00;
Sepanjang (SPJ);Ls;11:25:00;
Boharan (BH);Ls;11:31:00;
Krian (KRN);Ls;11:34:00;
Kedinding (KDN);Ls;11:37:00;
Tarik (TRK);Ls;11:41:00;
Mojokerto (MR);11:48:00;11:50:00;
Curahmalang (CRM);Ls;11:55:00;
Sumobito (SBO);Ls;11:59:00;
Peterongan (PTR);Ls;11:05:00;
Jombang (JG);12:07:00;12:09:00;
Sembung (SMB);Ls;12:15:00;
Kertosono (KTS);Ls;12:20:00;
Baron (BRN);Ls;12:25:00;
Sukomoro (SKM);Ls;12:31:00;
Nganjuk (NJ);12:35:00;12:37:00;
Bagor (BGR);Ls;12:43:00;
Saradan (SRD);Ls;12:53:00;
Caruban (CRB);Ls;12:58:00;
Babadan (BBD);Ls;13:03:00;
Madiun (MN);13:10:00;13:17:00;
Magetan (MAG);Ls;13:26:00;
Geneng (GG);Ls;13:31:00;
Ngawi (NGW);Ls;13:35:00;
Kedunggalar (KG);Ls;13:40:00;
Walikukun (WK);Ls;13:46:00;
Kedungbanteng (KDB);Ls;13:54:00;
Kebonromo (KRO);Ls;13:58:00;
Sragen (SR);Ls;14:01:00;
Masaran (MSR);Ls;14:06:00;
Kemiri (KMR);Ls;14:11:00;
Palur (PL);Ls;14:14:00;
Solojebres (SK);Ls;14:17:00;
Solo Balapan (SLO);14:21:00;14:24:00;
Purwosari (PWS);Ls;14:28:00;
Gawok (GW);Ls;14:32:00;
Delanggu (DL);Ls;14:35:00;
Ceper (CE);Ls;14:39:00;
Klaten (KT);14:46:00;14:49:00;
Srowot (SWT);Ls;14:56:00;
Brambanan (BBN);Ls;15:00:00;
Maguwo (MGW);Ls;15:06:00;
Lempuyangan (LPN);Ls;15:11:00;
Yogyakarta (YK);15:15:00;-;
